Wall time,Step,Value
1670574813,5,270
1670574814,18,289
1670574814,24,295
1670574815,40,261
1670574816,42,276
1670574816,45,303
1670574818,53,263
1670574819,56,277
1670574822,71,285
1670574823,74,275
1670574827,94,278
1670574829,102,253
1670574830,106,282
1670574835,126,315
1670574837,139,293
1670574841,155,243
1670574841,158,283
1670574843,167,316
1670574846,178,287
1670574847,183,296
1670574847,185,283
1670574847,186,286
1670574848,190,306
1670574852,207,291
1670574856,229,303
1670574857,234,603
1670574861,249,303
1670574862,255,547
1670574863,260,700
1670574865,267,694
1670574866,271,111
1670574866,273,588
1670574870,292,890
1670574874,308,586
1670574874,310,455
1670574876,318,468
1670574879,330,229
1670574881,339,179
1670574883,347,723
1670574887,363,108
1670574888,367,162
1670574901,421,119
1670574902,422,739
1670574905,439,349
1670574906,442,693
1670574907,445,144
1670574910,460,433
1670574911,463,130
1670574911,464,444
1670574913,474,394
1670574918,491,788
1670574918,493,395
1670574923,514,687
1670574924,517,594
1670574928,531,667
1670574929,536,179
1670574934,563,29
1670574937,573,537
1670574938,579,381
1670574939,581,241
1670574940,586,492
1670574940,587,144
1670574944,602,508
1670574948,620,424
1670574949,622,89
1670574952,634,146
1670574954,641,394
1670574954,642,1293
1670574954,644,431
1670574955,647,627
1670574955,649,980
1670574958,661,299
1670574961,671,204
1670574964,683,337
1670574965,688,141
1670574971,714,601
1670574972,718,1024
1670574973,722,452
1670574973,723,948
1670574975,730,334
1670574977,739,137
1670574977,743,366
1670574978,747,976
1670574979,752,736
1670574980,756,386
1670574982,765,352
1670574983,769,687
1670574983,771,565
1670574984,773,167
1670574985,780,514
1670574986,785,312
1670574987,787,396
1670574988,792,7
1670574988,794,690
1670574989,798,523
1670574990,802,855
1670574991,808,320
1670574992,809,37
1670574997,832,645
1670574998,836,577
1670575005,869,731
1670575006,876,306
1670575007,882,278
1670575011,896,494
1670575011,900,683
1670575013,907,668
1670575013,909,442
1670575015,915,990
1670575015,917,903
1670575018,931,710
1670575018,932,126
1670575020,942,139
1670575021,945,105
1670575023,954,49
1670575024,958,74
1670575024,962,566
1670575026,971,138
1670575026,972,40
1670575028,978,381
1670575028,979,128
1670575029,984,136
1670575032,996,588
1670575033,1002,461
1670575033,1005,175
1670575035,1014,331
1670575038,1025,254
1670575041,1044,449
1670575044,1057,1019
1670575045,1063,206
1670575046,1066,712
1670575047,1068,322
1670575048,1072,451
1670575050,1078,679
1670575051,1083,115
1670575053,1093,147
1670575054,1099,679
1670575055,1104,627
1670575058,1114,912
1670575059,1119,263
1670575066,1156,104
1670575067,1160,19
1670575067,1161,140
1670575068,1162,126
1670575071,1180,844
1670575074,1192,404
1670575074,1193,478
1670575075,1199,760
1670575077,1206,474
1670575082,1232,584
1670575083,1234,212
1670575085,1244,367
1670575087,1255,985
1670575088,1258,650
1670575088,1261,230
1670575092,1281,378
1670575094,1287,515
1670575095,1294,133
1670575096,1300,902
1670575098,1310,982
1670575099,1316,334
1670575100,1319,271
1670575102,1330,1079
1670575103,1333,442
1670575103,1336,643
1670575103,1337,348
1670575113,1385,380
1670575114,1388,639
1670575115,1391,226
1670575115,1392,691
1670575119,1414,158
1670575122,1426,344
1670575122,1428,714
1670575123,1432,669
1670575124,1436,263
1670575125,1440,641
1670575131,1465,1027
1670575131,1466,767
1670575133,1477,503
1670575135,1485,633
1670575136,1489,753
1670575136,1491,674
1670575140,1508,144
1670575143,1523,653
1670575143,1527,649
1670575149,1552,386
1670575152,1568,958
1670575152,1569,862
1670575155,1584,662
1670575156,1588,390
1670575158,1597,344
1670575159,1604,607
1670575159,1605,676
1670575162,1618,259
1670575164,1627,693
1670575165,1632,139
1670575166,1637,995
1670575167,1640,234
1670575168,1645,426
1670575168,1648,314
1670575171,1660,138
1670575172,1668,335
1670575174,1675,622
1670575175,1682,923
1670575177,1691,503
1670575178,1695,129
1670575178,1696,185
1670575178,1697,175
1670575179,1699,181
1670575179,1702,925
1670575181,1709,146
1670575183,1718,363
1670575185,1728,1
1670575186,1732,158
1670575187,1734,430
1670575187,1737,25
1670575188,1742,741
1670575189,1745,682
1670575189,1746,728
1670575189,1747,708
1670575193,1766,705
1670575195,1775,729
1670575196,1781,724
1670575198,1788,691
1670575198,1789,738
1670575200,1798,713
1670575201,1805,719
1670575204,1817,732
1670575206,1826,722
1670575206,1830,708
1670575208,1840,728
1670575209,1844,711
1670575211,1853,34
1670575214,1866,179
1670575214,1869,1077
1670575215,1875,255
1670575216,1877,439
1670575223,1911,868
1670575225,1917,867
1670575228,1934,122
1670575229,1936,143
1670575229,1938,47
1670575230,1944,714
1670575231,1947,17
1670575231,1949,241
1670575235,1967,755
1670575238,1981,473
1670575238,1983,996
1670575242,2001,710
1670575243,2005,692
1670575245,2013,562
1670575248,2030,361
1670575249,2036,943
1670575256,2060,653
1670575259,2072,801
1670575259,2073,926
1670575260,2076,728
1670575260,2077,140
1670575260,2079,857
1670575261,2081,356
1670575262,2085,471
1670575262,2089,613
1670575264,2094,709
1670575264,2096,703
1670575267,2111,126
1670575275,2145,1029
1670575275,2149,431
1670575276,2151,665
1670575277,2156,147
1670575279,2165,653
1670575280,2173,716
1670575281,2177,715
1670575283,2187,487
1670575284,2189,710
1670575284,2191,140
1670575285,2192,347
1670575286,2196,607
1670575286,2199,736
1670575288,2207,765
1670575289,2211,178
1670575292,2225,700
1670575293,2231,151
1670575294,2236,74
1670575295,2237,963
1670575295,2239,137
1670575296,2242,94
1670575296,2244,-4
1670575296,2246,735
1670575297,2247,752
1670575298,2254,763
1670575299,2257,334
1670575300,2262,484
1670575304,2281,612
1670575306,2291,739
1670575308,2297,647
1670575309,2303,119
1670575310,2307,1026
1670575310,2308,500
1670575312,2319,652
1670575313,2320,742
1670575316,2335,747
1670575318,2345,774
1670575320,2354,769
1670575323,2371,785
1670575327,2389,-19
1670575327,2390,997
1670575328,2392,728
1670575330,2402,117
1670575331,2406,679
1670575335,2425,132
1670575337,2436,56
1670575339,2444,973
1670575340,2450,94
1670575341,2451,98
1670575341,2453,49
1670575341,2455,156
1670575343,2460,163
1670575348,2485,676
1670575348,2486,597
1670575350,2496,-14
1670575351,2498,155
1670575352,2503,317
1670575355,2517,851
1670575356,2523,247
1670575358,2530,100
1670575358,2532,-21
1670575362,2547,648
1670575362,2551,363
1670575363,2553,934
1670575365,2566,354
1670575368,2578,321
1670575371,2590,148
1670575371,2591,35
1670575371,2592,190
1670575373,2600,363
1670575374,2606,684
1670575378,2623,617
1670575379,2629,121
1670575379,2630,156
1670575381,2638,611
1670575382,2644,329
1670575383,2650,416
1670575384,2655,151
1670575389,2678,648
1670575389,2680,175
1670575391,2685,769
1670575392,2690,832
1670575394,2703,811
1670575396,2710,153
1670575399,2725,739
1670575402,2737,670
1670575403,2740,438
1670575406,2754,662
1670575407,2755,534
1670575407,2757,599
1670575415,2789,135
1670575415,2790,118
1670575416,2791,137
1670575418,2798,155
1670575421,2809,560
1670575425,2824,143
1670575426,2827,351
1670575427,2829,108
1670575436,2859,127
1670575440,2872,448
1670575442,2881,130
1670575445,2890,253
1670575446,2896,149
1670575447,2900,137
1670575452,2917,120
1670575453,2919,441
1670575453,2920,273
1670575453,2921,163
1670575456,2932,184
1670575461,2950,156
1670575465,2967,148
1670575467,2975,418
1670575474,2998,637
1670575476,3007,758
1670575476,3009,125
1670575477,3011,125
1670575478,3015,481
1670575478,3016,59
1670575482,3027,342
1670575483,3030,345
1670575485,3038,623
1670575486,3041,136
1670575489,3050,977
1670575493,3065,466
1670575494,3069,137
1670575495,3071,350
1670575499,3086,169
1670575503,3099,105
1670575510,3122,590
1670575514,3137,400
1670575514,3138,48
1670575515,3145,614
1670575517,3150,121
1670575518,3155,334
1670575519,3159,408
1670575519,3161,150
1670575525,3177,136
1670575530,3195,1162
1670575531,3196,661
1670575533,3203,161
1670575534,3206,422
1670575542,3230,172
1670575543,3233,174
1670575545,3240,598
1670575546,3243,367
1670575546,3244,686
1670575547,3246,113
1670575547,3247,213
1670575553,3267,72
1670575555,3272,188
1670575558,3281,400
1670575558,3283,332
1670575566,3305,280
1670575568,3313,128
1670575572,3327,119
1670575573,3328,124
1670575574,3333,106
1670575576,3338,145
1670575578,3345,408
1670575586,3374,93
1670575586,3376,134
1670575587,3378,114
1670575589,3386,113
1670575594,3403,188
1670575595,3408,120
1670575601,3430,146
1670575602,3433,400
1670575604,3438,495
1670575606,3445,326
1670575607,3449,109
1670575608,3451,130
1670575609,3457,126
1670575610,3458,449
1670575612,3464,645
1670575614,3471,154
1670575616,3477,66
1670575617,3480,171
1670575622,3497,129
1670575622,3499,517
1670575625,3509,377
1670575626,3512,778
1670575628,3519,406
1670575632,3535,694
1670575633,3537,592
1670575634,3543,85
1670575635,3547,133
1670575636,3549,153
1670575640,3563,115
1670575644,3580,41
1670575650,3592,114
1670575653,3600,895
1670575659,3618,108
1670575659,3620,717
1670575660,3622,306
1670575661,3625,27
1670575662,3628,63
1670575667,3645,628
1670575670,3656,205
1670575671,3657,578
1670575674,3670,137
1670575681,3700,157
1670575681,3702,97
1670575687,3726,156
1670575688,3730,345
1670575688,3732,423
1670575690,3738,787
1670575691,3741,135
1670575691,3743,128
1670575693,3752,720
1670575695,3759,344
1670575698,3772,420
1670575699,3780,420
1670575702,3793,161
1670575703,3795,683
1670575703,3798,738
1670575706,3810,1068
1670575707,3814,513
1670575708,3819,652
1670575708,3821,670
1670575710,3831,934
1670575711,3835,139
1670575714,3848,679
1670575718,3864,410
1670575719,3869,254
1670575721,3876,488
1670575726,3901,434
1670575727,3902,659
1670575728,3910,611
1670575731,3920,144
1670575732,3928,159
1670575734,3935,176
1670575735,3939,604
1670575737,3950,173
1670575738,3956,150
1670575740,3962,150
1670575744,3984,144
1670575747,3995,308
