Wall time,Step,Value
1670574813,5,3573
1670574814,18,3574
1670574814,24,3575
1670574815,40,3576
1670574816,42,3577
1670574816,45,3578
1670574818,53,3579
1670574819,56,3580
1670574822,71,3581
1670574823,74,3582
1670574827,94,3583
1670574829,102,3584
1670574830,106,3585
1670574835,126,3586
1670574837,139,3587
1670574841,155,3588
1670574841,158,3589
1670574843,167,3590
1670574846,178,3591
1670574847,183,3592
1670574847,185,3593
1670574847,186,3594
1670574848,190,3595
1670574852,207,3596
1670574856,229,3597
1670574857,234,3912
1670574861,249,3614
1670574862,255,3866
1670574863,260,3970
1670574865,267,4005
1670574866,271,3432
1670574866,273,3856
1670574870,292,4224
1670574874,308,3881
1670574874,310,3744
1670574876,318,3767
1670574879,330,3540
1670574881,339,3445
1670574883,347,3985
1670574887,363,3445
1670574888,367,3419
1670574901,421,3420
1670574902,422,4005
1670574905,439,3670
1670574906,442,3998
1670574907,445,3430
1670574910,460,3744
1670574911,463,3432
1670574911,464,3744
1670574913,474,3686
1670574918,491,4094
1670574918,493,3731
1670574923,514,4010
1670574924,517,3920
1670574928,531,3985
1670574929,536,3480
1670574934,563,3340
1670574937,573,3840
1670574938,579,3633
1670574939,581,3560
1670574940,586,3780
1670574940,587,3432
1670574944,602,3813
1670574948,620,3744
1670574949,622,3432
1670574952,634,3445
1670574954,641,3731
1670574954,642,4596
1670574954,644,3747
1670574955,647,3925
1670574955,649,4276
1670574958,661,3610
1670574961,671,3516
1670574964,683,3660
1670574965,688,3419
1670574971,714,3914
1670574972,718,4304
1670574973,722,3731
1670574973,723,4258
1670574975,730,3613
1670574977,739,3440
1670574977,743,3686
1670574978,747,4244
1670574979,752,4030
1670574980,756,3693
1670574982,765,3693
1670574983,769,4018
1670574983,771,3820
1670574984,773,3445
1670574985,780,3815
1670574986,785,3580
1670574987,787,3693
1670574988,792,3330
1670574988,794,4000
1670574989,798,3840
1670574990,802,3770
1670574991,808,4051
1670574992,809,3440
1670574997,832,3340
1670574998,836,3731
1670575005,869,3665
1670575006,876,3903
1670575007,882,4063
1670575011,896,3848
1670575011,900,3517
1670575013,907,3687
1670575013,909,3685
1670575015,915,3430
1670575015,917,3439
1670575018,931,3757
1670575018,932,3549
1670575020,942,3440
1670575021,945,3850
1670575023,954,3878
1670575024,958,3558
1670575024,962,3450
1670575026,971,3430
1670575026,972,3371
1670575028,978,3777
1670575028,979,3299
1670575029,984,3500
1670575032,996,4136
1670575033,1002,3524
1670575033,1005,3591
1670575035,1014,3964
1670575038,1025,3510
1670575041,1044,3569
1670575044,1057,3220
1670575045,1063,3600
1670575046,1066,3380
1670575047,1068,3638
1670575048,1072,3800
1670575050,1078,3472
1670575051,1083,3533
1670575053,1093,3622
1670575054,1099,3167
1670575055,1104,3491
1670575058,1114,3809
1670575059,1119,3284
1670575066,1156,3649
1670575067,1160,3237
1670575067,1161,3558
1670575068,1162,3390
