,Step,Value
0,5,270.0
1,18,270.19
2,24,270.43809999999996
3,40,270.34371899999996
4,42,270.40028180999997
5,45,270.7262789919
6,53,270.649016201981
7,56,270.7125260399612
8,71,270.8554007795616
9,74,270.896846771766
10,94,270.9678783040483
11,102,270.78819952100787
12,106,270.9003175257978
13,126,271.3413143505398
14,139,271.5579012070344
15,155,271.27232219496403
16,158,271.38959897301436
17,167,271.83570298328425
18,178,271.9873459534514
19,183,272.2274724939168
20,185,272.33519776897765
21,186,272.4718457912879
22,190,272.807127333375
23,207,272.98905606004126
24,229,273.28916549944086
25,234,276.58627384444645
26,249,276.850411106002
27,255,279.55190699494204
28,260,283.7563879249926
29,267,287.85882404574267
30,271,286.09023580528526
31,273,289.1093334472324
32,292,295.11824011276013
33,308,298.02705771163255
34,310,299.59678713451626
35,318,301.2808192631711
36,330,300.5580110705394
37,339,299.342430959834
38,347,303.57900665023567
39,363,301.62321658373327
40,367,300.22698441789595
41,421,298.414714573717
42,422,302.8205674279798
43,439,303.28236175370006
44,442,307.17953813616305
45,445,305.5477427548014
46,460,306.8222653272534
47,463,305.05404267398086
48,464,306.44350224724104
49,474,307.3190672247686
50,491,312.12587655252094
51,493,312.9546177869957
52,514,316.69507160912576
53,517,319.4681208930345
54,531,322.9434396841042
55,536,321.50400528726317
56,563,318.5789652343906
57,573,320.7631755820467
58,579,321.36554382622626
59,581,320.561888387964
60,586,322.2762695040844
61,587,320.49350680904354
62,602,322.3685717409531
63,620,323.3848860235436
64,622,321.04103716330815
65,634,319.29062679167504
66,641,320.0377205237583
67,642,329.7673433185207
68,644,330.7796698853355
69,647,333.74187318648217
70,649,340.20445445461735
71,661,339.79240991007117
72,671,338.4344858109705
73,683,338.4201409528608
74,688,336.4459395433322
75,714,339.0914801478989
76,718,345.94056534641993
77,722,347.0011596929557
78,723,353.01114809602615
79,730,352.82103661506585
80,739,350.66282624891517
81,743,350.81619798642606
82,747,357.0680360065618
83,752,360.85735564649616
84,756,361.1087820900312
85,765,361.01769426913086
86,769,364.2775173264395
87,771,366.2847421531751
88,773,364.29189473164337
89,780,365.7889757843269
90,785,365.2510860264836
91,787,365.55857516621876
92,792,361.97298941455654
93,794,365.253259520411
94,798,366.83072692520693
95,802,371.7124196559549
96,808,371.1952954593953
97,809,367.85334250480133
98,832,370.6248090797533
99,836,372.6885609889557
100,869,376.27167537906615
101,876,375.5689586252755
102,882,374.5932690390228
103,896,375.78733634863255
104,900,378.8594629851462
105,907,381.75086835529476
106,909,382.3533596717418
107,915,388.42982607502444
108,917,393.5755278142742
109,931,396.7397725361315
110,932,394.0323748107702
111,942,391.4820510626625
112,945,388.6172305520359
113,954,385.22105824651555
114,958,382.1088476640504
115,962,383.94775918740993
116,971,381.4882815955358
117,972,378.07339877958043
118,978,378.1026647917846
119,979,375.6016381438668
120,984,373.20562176242817
121,996,375.35356554480387
122,1002,376.21002988935584
123,1005,374.19792959046225
124,1014,373.7659502945576
125,1025,372.56829079161207
126,1044,373.33260788369597
127,1057,379.789281804859
128,1063,378.0513889868104
129,1066,381.3908750969423
130,1068,380.7969663459729
131,1072,381.49899668251317
132,1078,384.47400671568806
133,1083,381.7792666485312
134,1093,379.4314739820459
135,1099,382.42715924222546
136,1104,384.8728876498032
137,1114,390.14415877330515
138,1119,388.87271718557207
139,1156,386.02399001371634
140,1160,382.35375011357917
141,1161,379.93021261244337
142,1162,377.39091048631894
