Wall time,Step,Value
1666768513.0063128,5,14.214625358581543
1666768513.1751502,18,27.34609603881836
1666768513.255564,24,15.360210418701172
1666768515.3822699,40,11.261878967285156
1666768515.966871,42,17.56144142150879
1666768516.829101,45,23.98379135131836
1666768519.157554,53,11.38784122467041
1666768519.999927,56,13.271077156066895
1666768524.7244391,71,20.456329345703125
1666768525.733896,74,22.74262237548828
1666768535.169703,94,19.711965560913086
1666768537.7395341,102,14.495338439941406
1666768538.9767501,106,19.440406799316406
1666768545.3302941,126,13.233136177062988
1666768549.466796,139,20.92823028564453
1666768554.970539,155,12.432616233825684
1666768555.982195,158,24.945308685302734
1666768558.689997,167,14.155667304992676
1666768563.274563,178,11.475783348083496
1666768564.930057,183,12.198448181152344
1666768565.58703,185,12.144867897033691
1666768565.970293,186,12.230802536010742
1666768567.2979379,190,11.165066719055176
1666768572.991829,207,12.185164451599121
1666768579.8748128,229,23.14922523498535
1666768581.3731682,234,19.06404685974121
1666768586.2278678,249,25.03533172607422
1666768588.3795662,255,16.16742515563965
1666768590.1306748,260,20.676715850830078
1666768592.578735,267,14.164342880249023
1666768593.942299,271,20.338777542114258
1666768594.697184,273,15.701311111450195
1666768600.556289,292,9.558077812194824
1666768605.53857,308,27.52486801147461
1666768606.1374662,310,13.38701343536377
1666768608.510157,318,15.255903244018555
1666768612.0207272,330,13.864066123962402
1666768614.664484,339,19.220705032348633
1666768616.9953432,347,11.040152549743652
1666768621.867757,363,20.02739906311035
1666768623.225622,367,24.402061462402344
1666768640.100705,421,14.449625968933105
1666768640.389753,422,19.058338165283203
1666768645.68134,439,20.218774795532227
1666768646.713568,442,13.328858375549316
1666768647.7227871,445,26.26044464111328
1666768652.577672,460,18.50657844543457
1666768653.658946,463,18.319252014160156
1666768653.9905548,464,17.317615509033203
1666768656.966537,474,19.56757164001465
1666768662.010474,491,22.044763565063477
1666768662.574424,493,15.484908103942871
1666768669.747126,514,20.27682876586914
1666768670.7197728,517,24.89133071899414
1666768675.324207,531,17.262014389038086
1666768676.842329,536,8.84702205657959
1666768684.9204202,563,17.055789947509766
1666768688.082929,573,11.050627708435059
1666768689.9213161,579,18.662548065185547
1666768690.595975,581,24.316082000732422
1666768692.2297,586,23.87950897216797
1666768692.4988,587,22.656658172607422
1666768697.925571,602,22.302255630493164
