Wall time,Step,Value
1670571455,2354,4010
1670571459,2371,3580
1670571463,2389,3985
1670571463,2390,4231
1670571464,2392,3432
1670571466,2402,3932
1670571467,2406,3706
1670571471,2425,3445
1670571474,2436,3945
1670571476,2444,4271
1670571477,2450,3445
1670571477,2451,3445
1670571478,2453,4271
1670571478,2455,3945
1670571479,2460,3985
1670571485,2485,4005
1670571485,2486,3458
1670571488,2496,3998
1670571488,2498,3600
1670571489,2503,3626
1670571493,2517,3445
1670571494,2523,3731
1670571496,2530,3458
1670571496,2532,3920
1670571499,2547,4304
1670571500,2551,3850
1670571501,2553,3800
1670571504,2566,3913
1670571506,2578,3890
1670571509,2590,3458
1670571509,2591,3432
1670571509,2592,3455
1670571511,2600,3626
1670571512,2606,3614
1670571517,2623,3925
1670571518,2629,4224
1670571519,2630,3718
1670571520,2638,3853
1670571522,2644,3458
1670571523,2650,4010
1670571524,2655,3340
1670571531,2678,3590
1670571532,2680,3650
1670571533,2685,3901
1670571534,2690,3622
1670571537,2703,4010
1670571538,2710,3972
1670571542,2725,4050
1670571545,2737,3441
1670571546,2740,3430
1670571549,2754,3670
1670571549,2755,3445
1670571550,2757,4304
1670571557,2789,4064
1670571557,2790,4075
1670571558,2791,4125
1670571559,2798,4141
1670571562,2809,4257
1670571565,2824,3932
1670571566,2827,3666
1670571566,2829,3445
1670571573,2859,3945
1670571576,2872,4018
1670571578,2881,3744
1670571580,2890,3445
1670571582,2896,3731
1670571583,2900,4616
1670571587,2917,3650
1670571587,2919,3971
1670571587,2920,3445
1670571588,2921,3458
1670571590,2932,4010
1670571594,2950,3600
1670571598,2967,3340
1670571600,2975,3945
1670571605,2998,3800
1670571607,3007,3910
1670571608,3009,3458
1670571608,3011,3925
1670571609,3015,3998
1670571609,3016,3633
1670571612,3027,3985
1670571613,3030,3640
1670571615,3038,3660
1670571615,3041,4284
1670571617,3050,3660
1670571621,3065,3634
1670571622,3069,4031
1670571622,3071,3432
1670571625,3086,4030
1670571628,3099,3925
1670571634,3122,3600
1670571638,3137,3932
1670571638,3138,3972
1670571639,3145,3945
1670571641,3150,3925
1670571642,3155,3938
1670571643,3159,3925
1670571643,3161,3458
1670571647,3177,3720
1670571651,3195,3432
1670571651,3196,3925
1670571653,3203,4010
1670571653,3206,3580
1670571659,3230,3985
1670571660,3233,4231
1670571661,3240,3432
1670571662,3243,3932
1670571662,3244,3706
1670571663,3246,3445
1670571663,3247,3945
1670571668,3267,4271
1670571669,3272,3445
1670571671,3281,3445
1670571671,3283,4271
1670571677,3305,3945
1670571679,3313,3985
1670571682,3327,4005
1670571682,3328,3458
1670571683,3333,3998
1670571684,3338,3600
1670571686,3345,3626
1670571693,3374,4154
1670571693,3376,3575
1670571694,3378,3910
1670571696,3386,4211
1670571700,3403,3731
1670571701,3408,3744
1670571706,3430,4064
1670571707,3433,4543
1670571708,3438,3950
1670571709,3445,3432
1670571710,3449,3601
1670571711,3451,3673
1670571712,3457,3706
1670571713,3458,3992
1670571714,3464,3744
1670571715,3471,3744
1670571717,3477,3925
1670571717,3480,4060
1670571721,3497,3945
1670571722,3499,3744
1670571724,3509,3445
1670571725,3512,3575
1670571727,3519,3445
1670571730,3535,3693
1670571731,3537,3605
1670571732,3543,3633
1670571733,3547,3624
1670571734,3549,3950
1670571737,3563,3840
1670571741,3580,3584
1670571744,3592,3585
1670571745,3600,3671
1670571749,3618,3545
1670571750,3620,3757
1670571750,3622,3545
1670571751,3625,3591
1670571752,3628,3500
1670571755,3645,3519
1670571758,3656,3560
1670571758,3657,3550
1670571761,3670,4031
1670571767,3700,3945
1670571768,3702,3445
1670571773,3726,3445
1670571774,3730,3840
1670571774,3732,4060
1670571775,3738,3445
1670571776,3741,3972
1670571777,3743,3432
1670571779,3752,3840
1670571780,3759,3445
1670571783,3772,3945
1670571785,3780,3731
1670571788,3793,3591
1670571788,3795,3350
1670571789,3798,4005
1670571791,3810,3503
1670571792,3814,3757
1670571793,3819,4044
1670571794,3821,3445
1670571796,3831,3912
1670571797,3835,4284
1670571799,3848,3646
1670571803,3864,3432
1670571804,3869,3450
1670571806,3876,3445
1670571811,3901,3575
1670571811,3902,4160
1670571813,3910,3602
1670571815,3920,3350
1670571817,3928,3570
1670571818,3935,3458
1670571819,3939,3435
1670571822,3950,3633
1670571823,3956,3432
1670571824,3962,3880
1670571829,3984,3650
1670571831,3995,3387
1670571833,4000,3945
1670571834,4009,3958
1670571835,4010,3744
1670571837,4022,3445
1670571839,4033,3757
1670571840,4036,3445
1670571842,4046,3620
1670571842,4047,3419
1670571843,4048,3445
1670571852,4093,3559
1670571853,4098,3340
1670571853,4099,3693
1670571856,4109,3850
1670571872,4182,3600
1670571874,4193,3985
1670571874,4194,3690
1670571875,4196,3919
1670571875,4198,3662
1670571876,4201,3432
1670571876,4202,3600
1670571876,4204,3445
1670571881,4227,3445
1670571883,4232,3661
1670571883,4235,4030
1670571885,4243,3450
1670571887,4254,4257
1670571890,4263,3360
1670571890,4266,3590
1670571890,4267,3744
1670571894,4282,3360
1670571897,4298,3445
1670571898,4304,3744
1670571899,4308,3445
1670571901,4317,3650
1670571902,4319,3630
1670571904,4328,4692
1670571905,4332,3432
1670571906,4338,4154
1670571907,4343,3731
1670571913,4369,3445
1670571915,4378,3419
1670571918,4393,3945
1670571920,4400,3646
1670571921,4406,3445
1670571922,4410,4150
1670571922,4411,3925
1670571926,4430,4244
1670571926,4431,4151
1670571927,4433,4140
1670571928,4439,4224
1670571935,4469,3613
1670571937,4475,3610
1670571938,4479,3445
1670571938,4482,3932
1670571940,4490,3360
1670571941,4492,3330
1670571944,4509,3410
1670571944,4510,3731
1670571949,4529,3340
1670571949,4530,3607
1670571949,4533,3432
1670571952,4542,3315
1670571954,4550,3680
1670571954,4552,3340
1670571954,4553,3680
1670571958,4568,3718
1670571960,4578,3912
1670571960,4581,4005
1670571963,4592,3340
1670571963,4595,3613
1670571964,4597,3620
1670571964,4599,3445
1670571967,4611,3731
1670571971,4628,3992
1670571975,4643,3445
1670571976,4649,3686
1670571977,4656,3445
1670571979,4664,4101
1670571980,4668,3759
1670571982,4675,3445
1670571982,4676,3445
1670571982,4677,3680
1670571984,4687,3741
1670571991,4713,3432
1670571992,4718,3445
1670571995,4734,3360
1670571996,4739,3660
1670571998,4745,3432
1670571998,4749,4154
1670571999,4750,3601
1670572001,4758,3600
1670572001,4761,4005
1670572001,4762,3575
1670572002,4764,3419
1670572003,4767,3276
1670572005,4776,3972
1670572006,4780,3580
1670572007,4784,3445
1670572007,4787,4291
1670572007,4788,4050
1670572009,4794,3340
1670572010,4800,3445
1670572011,4802,3670
