Wall time,Step,Value
1670566469,5,13.08424187
1670566469,18,13.35632706
1670566469,24,18.62527657
1670566471,40,20.93115425
1670566471,42,19.63761139
1670566472,45,25.09235001
1670566474,53,18.85734177
1670566474,56,20.55536079
1670566478,71,25.57103348
1670566479,74,24.92985535
1670566483,94,9.53912735
1670566485,102,23.93062973
1670566486,106,19.37767029
1670566490,126,21.48270035
1670566493,139,22.96696949
1670566497,155,24.1060276
1670566497,158,22.11364269
1670566500,167,7.95745039
1670566502,178,16.52550888
1670566503,183,22.96146393
1670566504,185,21.82999229
1670566504,186,21.07478428
1670566505,190,20.50428772
1670566508,207,22.41607475
1670566513,229,21.50083923
1670566515,234,24.31297493
1670566518,249,21.75133324
1670566519,255,25.07058144
1670566520,260,23.14758873
1670566522,267,14.06464481
1670566523,271,16.62401581
1670566524,273,21.26726151
1670566528,292,18.3798008
1670566531,308,16.90789795
1670566532,310,14.34071255
1670566533,318,11.89365959
1670566536,330,21.90822601
1670566537,339,16.06797409
1670566539,347,13.44085598
1670566543,363,11.06546593
1670566544,367,10.41678143
1670566555,421,18.34814262
1670566555,422,19.63317871
1670566558,439,24.14277267
1670566559,442,11.73081398
1670566560,445,7.402925491
1670566563,460,20.9588871
1670566563,463,11.01800251
1670566563,464,19.11819077
1670566565,474,12.12918282
1670566569,491,12.17559052
1670566569,493,22.03506851
1670566574,514,13.76583385
1670566575,517,13.46263123
1670566578,531,12.10978889
1670566579,536,10.79438877
1670566584,563,13.64874649
1670566586,573,20.54162407
1670566588,579,15.62606716
1670566588,581,19.22363853
1670566589,586,19.62944984
1670566590,587,20.68527603
1670566593,602,18.38062477
1670566596,620,13.78567314
1670566597,622,23.62069321
1670566599,634,21.54033661
1670566601,641,12.63197899
1670566601,642,21.07520294
1670566601,644,15.2565794
1670566602,647,20.90362358
1670566602,649,19.71517372
1670566604,661,11.66843605
1670566607,671,14.93705177
1670566609,683,14.30922985
1670566610,688,15.49396896
1670566615,714,22.04836082
1670566615,718,13.00464535
1670566616,722,19.91738129
1670566616,723,13.24786758
1670566618,730,13.07503319
1670566619,739,19.18794823
1670566620,743,12.99873638
1670566621,747,15.44693184
1670566621,752,21.04293633
1670566622,756,18.41792107
1670566624,765,12.65982628
1670566624,769,15.4291544
1670566625,771,16.1814537
1670566625,773,20.54376984
1670566626,780,21.45063019
1670566627,785,16.88613701
1670566627,787,13.03870392
1670566628,792,15.66237259
1670566629,794,11.59970188
1670566629,798,23.22500992
1670566630,802,17.54297256
1670566631,808,25.35051727
1670566631,809,17.30140305
1670566636,832,18.151577
1670566636,836,12.7411232
1670566642,869,18.72847557
1670566643,876,23.70683861
1670566644,882,11.76920891
1670566647,896,15.47817898
1670566649,900,14.11257648
1670566650,907,10.05969524
1670566650,909,12.63337803
1670566651,915,22.70243454
1670566652,917,20.10925484
1670566654,931,27.83236122
1670566654,932,15.27130222
1670566656,942,10.85207748
1670566657,945,26.36060333
1670566658,954,19.81258392
1670566659,958,11.97454166
1670566660,962,12.66471958
1670566661,971,14.75594044
1670566661,972,16.12516785
1670566662,978,20.82908249
1670566663,979,20.39059258
1670566663,984,12.18141937
1670566666,996,10.6348362
1670566667,1002,12.06065559
1670566667,1005,11.65445614
1670566669,1014,24.16049004
1670566671,1025,11.41150761
1670566674,1044,12.56265354
1670566677,1057,11.74146175
1670566678,1063,11.33331585
1670566678,1066,19.51846695
1670566679,1068,15.40599823
1670566680,1072,15.12767029
1670566681,1078,22.59540176
1670566682,1083,17.90233231
1670566683,1093,12.9281168
1670566685,1099,17.73080635
1670566686,1104,21.11029053
1670566687,1114,14.3019762
1670566688,1119,14.96738338
1670566696,1156,18.72028542
1670566696,1160,23.82501793
1670566697,1161,16.09678078
1670566697,1162,10.1684351
1670566701,1180,10.89417648
1670566703,1192,18.8044548
1670566703,1193,13.33387566
1670566704,1199,14.79957771
1670566706,1206,20.61096573
1670566711,1232,25.36333084
1670566711,1234,24.74397469
1670566713,1244,12.41256809
1670566715,1255,24.74884796
1670566715,1258,15.22561073
1670566716,1261,17.52578354
1670566720,1281,15.59357262
1670566721,1287,13.97467995
1670566722,1294,19.1270752
1670566723,1300,17.25311661
1670566725,1310,10.78473377
1670566726,1316,17.29053688
1670566727,1319,18.99266052
1670566729,1330,11.42990589
1670566729,1333,19.2672863
1670566730,1336,13.43882561
1670566730,1337,13.69037437
1670566739,1385,17.40009689
1670566740,1388,21.88270378
1670566740,1391,23.55023766
1670566740,1392,13.68642616
1670566745,1414,21.75905418
1670566747,1426,21.31157112
1670566747,1428,12.39186382
1670566748,1432,12.988554
1670566749,1436,17.85628319
1670566749,1440,20.66274643
1670566754,1465,14.0399971
1670566755,1466,14.16639709
1670566757,1477,19.12964058
1670566759,1485,15.29575062
1670566759,1489,13.08398533
1670566760,1491,12.39721203
1670566763,1508,14.54916859
1670566766,1523,20.77936363
1670566766,1527,12.69133377
1670566772,1552,26.60897255
1670566775,1568,16.33463669
1670566775,1569,6.786415577
1670566778,1584,19.15071297
1670566779,1588,12.28893089
1670566781,1597,19.11481476
1670566782,1604,23.85700607
1670566782,1605,14.07214165
1670566785,1618,11.4887352
1670566786,1627,18.68960953
1670566787,1632,17.12409973
1670566788,1637,17.07190323
1670566789,1640,21.99931717
1670566790,1645,22.42067337
1670566790,1648,9.935237885
1670566793,1660,15.85176086
1670566795,1668,18.09774017
1670566797,1675,19.34854698
1670566798,1682,13.57184315
1670566800,1691,11.17834663
1670566800,1695,20.70822525
1670566801,1696,22.18474388
1670566801,1697,13.41653824
1670566801,1699,20.85967636
1670566802,1702,19.52440453
1670566803,1709,18.62039185
1670566805,1718,20.94182968
1670566806,1728,13.07622719
1670566807,1732,14.92455769
1670566808,1734,9.792663574
1670566808,1737,13.45806026
1670566809,1742,21.8582058
1670566809,1745,25.96337128
1670566810,1746,26.20469284
1670566810,1747,24.34160614
1670566813,1766,16.51789665
1670566815,1775,19.17234039
1670566816,1781,15.98115158
1670566818,1788,10.02561665
1670566818,1789,23.71828079
1670566820,1798,9.789782524
1670566821,1805,23.74844933
1670566823,1817,15.81597614
1670566825,1826,12.25210381
1670566825,1830,12.6447382
1670566827,1840,18.27498817
1670566828,1844,19.95985413
1670566829,1853,18.63934326
1670566832,1866,21.94182205
1670566833,1869,19.70874405
1670566834,1875,15.58025265
1670566835,1877,19.33760452
1670566841,1911,13.03525925
1670566842,1917,13.41399479
1670566845,1934,13.12226295
1670566846,1936,23.24706459
1670566846,1938,13.63310528
1670566847,1944,15.4624176
1670566848,1947,18.03166771
1670566848,1949,20.52596092
1670566852,1967,10.67598057
1670566855,1981,13.35593319
1670566855,1983,12.7326746
1670566859,2001,10.52808952
1670566860,2005,16.40406418
1670566862,2013,15.16552544
1670566866,2030,11.8769474
1670566867,2036,11.17034245
1670566873,2060,23.71542358
1670566875,2072,18.81607056
1670566875,2073,11.36458111
1670566876,2076,19.54210281
1670566876,2077,17.3225193
1670566876,2079,24.16036797
1670566877,2081,7.531667709
1670566878,2085,23.01195335
1670566879,2089,17.56908989
1670566880,2094,10.20390034
1670566880,2096,22.6254673
1670566883,2111,16.03973007
1670566890,2145,10.6609354
1670566890,2149,18.04645348
1670566891,2151,14.90573788
1670566892,2156,22.07684898
1670566894,2165,17.15774918
1670566895,2173,21.32330132
1670566896,2177,11.11435413
1670566898,2187,8.669556618
1670566898,2189,19.2800045
1670566899,2191,18.30726814
1670566899,2192,15.14616489
1670566900,2196,17.77822304
1670566900,2199,11.4151516
1670566902,2207,16.54316711
1670566903,2211,20.61870384
1670566905,2225,17.00235176
1670566906,2231,19.80234718
1670566907,2236,21.2345295
1670566908,2237,21.22216415
1670566908,2239,15.76307964
1670566908,2242,13.44336796
1670566909,2244,15.74147224
1670566909,2246,22.17768288
1670566909,2247,25.64771271
1670566911,2254,16.19768715
1670566911,2257,15.430439
1670566912,2262,14.3650341
1670566916,2281,23.28611755
1670566917,2291,17.92747688
1670566918,2297,13.21726894
1670566919,2303,13.37270737
1670566920,2307,19.23620224
1670566920,2308,13.25008392
1670566922,2319,19.09596443
1670566922,2320,12.30253601
1670566925,2335,14.33335304
1670566927,2345,14.42418575
1670566928,2354,11.24413109
1670566932,2371,22.58457756
1670566936,2389,13.86045265
1670566936,2390,15.06849194
1670566937,2392,6.944612026
1670566939,2402,14.08285999
1670566940,2406,10.21258545
1670566944,2425,15.22506332
1670566946,2436,11.25070572
1670566948,2444,14.51607132
1670566949,2450,11.23422527
1670566949,2451,19.00232315
1670566949,2453,17.06710052
1670566950,2455,12.51232147
1670566951,2460,14.5696888
1670566955,2485,19.70145798
1670566956,2486,11.58400726
1670566958,2496,9.059565544
1670566958,2498,19.92168999
1670566959,2503,10.97862911
1670566963,2517,11.68479633
1670566964,2523,10.19266987
1670566965,2530,23.62513924
1670566965,2532,13.97891712
1670566968,2547,17.69692421
1670566969,2551,22.33112144
1670566970,2553,21.75798988
1670566972,2566,23.67331505
1670566974,2578,21.97700691
1670566977,2590,9.91615963
1670566977,2591,10.80524921
1670566977,2592,20.11379814
1670566978,2600,22.06248093
1670566980,2606,21.52401733
1670566983,2623,15.09398651
1670566984,2629,10.93412781
1670566984,2630,17.24685097
1670566986,2638,23.96972656
1670566987,2644,22.38039017
1670566988,2650,17.27062416
1670566989,2655,18.79144096
1670566994,2678,11.94275665
1670566995,2680,22.5784111
1670566996,2685,15.42942715
1670566997,2690,23.46342087
1670567000,2703,17.57517624
1670567001,2710,15.94924831
1670567004,2725,13.16714478
1670567006,2737,19.84109306
1670567007,2740,15.77040005
1670567010,2754,22.34341431
1670567010,2755,20.50019836
1670567010,2757,17.97624779
1670567016,2789,11.15213776
1670567017,2790,19.16877365
1670567017,2791,22.62471199
1670567018,2798,13.10926342
1670567021,2809,12.13570881
1670567024,2824,17.31100655
1670567024,2827,11.27679157
1670567025,2829,16.95869064
1670567031,2859,19.37056351
1670567034,2872,13.37913322
1670567036,2881,21.24388504
1670567038,2890,12.21196556
1670567039,2896,16.54322624
1670567040,2900,16.13321686
1670567043,2917,11.84510899
1670567043,2919,11.28203487
1670567043,2920,9.677588463
1670567043,2921,13.03056812
1670567045,2932,22.03867149
1670567049,2950,19.78672028
1670567052,2967,16.84634972
1670567053,2975,21.11494827
1670567057,2998,23.88661003
1670567059,3007,23.63023376
1670567059,3009,15.62681961
1670567059,3011,19.04424858
1670567060,3015,21.08376122
1670567060,3016,11.07323837
1670567062,3027,12.17087841
1670567063,3030,12.04356098
1670567064,3038,15.68920517
1670567065,3041,13.52956581
1670567066,3050,9.488173485
1670567069,3065,19.66201401
1670567070,3069,11.66313267
1670567070,3071,23.00594139
1670567073,3086,12.97891521
1670567075,3099,17.99571609
1670567079,3122,20.16454315
1670567082,3137,13.00548077
1670567082,3138,12.68816853
1670567083,3145,11.86012554
1670567084,3150,10.05064583
1670567085,3155,14.74048615
1670567086,3159,20.13609886
1670567086,3161,18.09713745
