Wall time,Step,Value
1670570925,5,41
1670570925,18,272
1670570926,24,292
1670570927,40,365
1670570928,42,105
1670570928,45,80
1670570930,53,35
1670570931,56,260
1670570935,71,278
1670570936,74,381
1670570940,94,466
1670570942,102,13
1670570943,106,80
1670570948,126,35
1670570951,139,360
1670570954,155,60
1670570955,158,377
1670570957,167,98
1670570959,178,102
1670570960,183,80
1670570961,185,35
1670570961,186,54
1670570962,190,80
1670570965,207,35
1670570970,229,618
1670570971,234,37
1670570974,249,18
1670570976,255,65
1670570977,260,319
1670570978,267,374
1670570979,271,81
1670570980,273,94
1670570984,292,286
1670570987,308,351
1670570988,310,63
1670570990,318,13
1670570992,330,80
1670570994,339,35
1670570996,347,360
1670571000,363,60
1670571001,367,377
1670571013,421,98
1670571013,422,102
1670571017,439,80
1670571017,442,35
1670571018,445,54
1670571021,460,80
1670571022,463,609
1670571022,464,708
1670571024,474,839
1670571028,491,69
1670571028,493,911
1670571033,514,880
1670571033,517,587
1670571037,531,822
1670571038,536,889
1670571044,563,595
1670571046,573,363
1670571047,579,897
1670571048,581,827
1670571049,586,497
1670571049,587,666
1670571052,602,640
1670571056,620,657
1670571057,622,611
1670571059,634,462
1670571061,641,43
1670571061,642,833
1670571061,644,814
1670571062,647,252
1670571062,649,450
1670571065,661,457
1670571067,671,832
1670571069,683,591
1670571071,688,704
1670571076,714,419
1670571077,718,645
1670571078,722,873
1670571078,723,646
1670571079,730,561
1670571081,739,634
1670571082,743,121
1670571083,747,529
1670571084,752,544
1670571085,756,870
1670571087,765,958
1670571088,769,784
1670571089,771,624
1670571089,773,476
1670571091,780,107
1670571092,785,895
1670571093,787,533
1670571094,792,255
1670571095,794,499
1670571096,798,738
1670571097,802,426
1670571098,808,596
1670571099,809,160
1670571104,832,417
1670571105,836,786
1670571112,869,373
1670571113,876,919
1670571115,882,241
1670571118,896,591
1670571119,900,893
1670571120,907,842
1670571121,909,232
1670571122,915,540
1670571122,917,385
1670571125,931,102
1670571126,932,344
1670571128,942,356
1670571128,945,1032
1670571130,954,587
1670571131,958,916
1670571132,962,558
1670571134,971,76
1670571134,972,856
1670571136,978,359
1670571136,979,299
1670571137,984,4
1670571140,996,553
1670571141,1002,421
1670571142,1005,68
1670571144,1014,523
1670571146,1025,225
1670571151,1044,60
1670571154,1057,917
1670571156,1063,566
1670571156,1066,12
1670571157,1068,726
1670571157,1072,43
1670571159,1078,67
1670571160,1083,694
1670571162,1093,565
1670571164,1099,478
1670571165,1104,769
1670571167,1114,572
1670571168,1119,399
1670571176,1156,20
1670571177,1160,609
1670571177,1161,555
1670571177,1162,684
1670571181,1180,541
1670571184,1192,619
1670571184,1193,606
1670571186,1199,554
1670571187,1206,38
1670571193,1232,504
1670571193,1234,624
1670571195,1244,1004
1670571198,1255,942
1670571199,1258,604
1670571199,1261,541
1670571203,1281,889
1670571205,1287,848
1670571206,1294,35
1670571207,1300,573
1670571209,1310,506
1670571211,1316,88
1670571211,1319,203
1670571214,1330,485
1670571214,1333,804
1670571215,1336,-19
1670571215,1337,623
1670571225,1385,570
1670571226,1388,1006
1670571227,1391,661
1670571227,1392,686
1670571232,1414,77
1670571234,1426,76
1670571235,1428,-51
1670571236,1432,325
1670571236,1436,860
1670571237,1440,-75
1670571243,1465,70
1670571243,1466,634
1670571245,1477,350
1670571247,1485,544
