,Step,Value
0,5,240.0
1,18,239.728
2,24,240.43635200000003
3,40,240.50937036800005
4,42,241.52522044211204
5,45,241.91681691503825
6,53,242.83014784439763
7,56,243.31286547888726
8,71,243.70785963122506
9,74,244.22453387712545
10,94,245.38894133509143
11,102,245.68671827372998
12,106,245.22773078135032
13,126,245.38408708884873
14,139,245.15394169542714
15,155,245.7274786283003
16,158,245.8278389702475
17,167,246.16659354672353
18,178,246.09992804997597
19,183,247.42632920117637
20,185,248.25150793395753
21,186,248.3434838070142
22,190,249.15398806610196
23,207,249.27952425704433
24,229,249.67505186893163
25,234,255.42425103902872
26,249,257.11346302240423
27,255,260.9996476140458
28,260,267.38365325222105
29,267,275.04151480018555
30,271,271.7608505633826
31,273,276.29267695436846
32,292,286.6399941230986
33,308,291.589754217129
34,310,293.82031814965495
35,318,296.23919305926046
36,330,295.1793659703123
37,339,292.6964961147873
38,347,298.54135217695074
39,363,295.3326905421195
40,367,293.1353674934456
41,421,290.1412016135505
42,422,296.0589423877337
43,439,296.8099993095299
44,442,302.41303932057747
45,445,299.99043069144824
46,460,302.4225838003851
47,463,299.5678224595789
48,464,301.23873730022564
49,474,302.082917503422
50,491,310.20959082336725
51,493,311.16623737019336
52,514,316.82757757227023
53,517,321.7903363311139
54,531,327.90569094981606
55,536,326.019199894619
56,563,320.5788926963051
57,573,324.23363041316424
58,579,324.5658923265536
59,581,322.58883804932873
60,586,325.3154166405395
61,587,322.2223699742909
62,602,324.4748120547023
63,620,325.923215061827
64,622,322.7084436208378
65,634,319.2891085229044
66,641,321.09248278653797
67,642,337.0110030619534
68,644,338.19482701296215
69,647,342.27170978075475
70,649,351.7713624242627
71,661,351.4070206254745
72,671,349.67250829546686
73,683,349.8377481627394
74,688,346.5763441921356
75,714,350.1191226850614
76,718,359.68521672210045
77,722,361.4502532545468
78,723,370.73904920247406
79,730,369.8792244152345
80,739,365.4491568245907
81,743,364.84997031539723
82,747,373.7803707903509
83,752,379.0638848577053
84,756,378.7428626999821
85,765,379.00297689678234
86,769,384.49092926643385
87,771,386.3710743981709
88,773,382.2371372078002
89,780,384.2813430124754
90,785,381.73284152427584
91,787,381.25711605988744
92,792,375.36500220292925
93,794,380.46316216768236
94,798,382.93575157299944
95,802,384.18477954783145
96,808,390.6938230750662
97,809,386.2667219058651
98,832,380.56645435537126
99,836,380.7013910856853
100,869,379.8581688283143
101,876,383.66843812706134
102,882,389.3217431170284
103,896,391.95659522715596
104,900,388.5972897035214
105,907,388.77973306826505
106,909,388.91125733917283
107,915,384.64067722174605
108,917,379.9264263861981
109,931,380.8076035640189
110,932,378.9866819069946
111,942,374.3628949964827
112,945,376.43708867653896
113,954,379.23009525771437
114,958,376.81041373359096
115,962,373.26144711385354
116,971,368.90526396003185
117,972,363.93077973667135
118,978,365.9958872608846
119,979,360.5239530647105
120,984,357.9555698156751
121,996,364.8682806986243
122,1002,361.78238820744633
123,1005,360.7618699961272
124,1014,365.8696800761891
125,1025,362.6717651949701
126,1044,361.3170169518505
127,1057,353.7119446806209
128,1063,351.82855356573094
129,1066,347.33529670867927
130,1068,346.91393196134044
131,1072,348.91530904995903
132,1078,346.26066410515966
133,1083,344.5284934794771
134,1093,343.8320375838055
135,1099,336.2187249824646
136,1104,333.5592253827452
137,1114,335.7422777766212
138,1119,330.0664013321953
139,1156,329.79333891088015
140,1160,322.58064548830606
141,1161,321.1313551604932
142,1162,316.8252534779253
143,1180,312.1400494222785
144,1192,313.76980863152204
145,1193,311.2774916934177
146,1199,318.08905182632304
147,1206,314.5996269971019
148,1232,310.5420329651483
149,1234,309.0933604377059
150,1244,309.81186667070256
151,1255,307.7348768039713
152,1258,306.4271187751078
153,1261,305.95628487470606
154,1281,305.3649843167108
155,1287,309.6951445676434
156,1294,310.7080222545611
157,1300,314.04069389848814
158,1310,318.5360427961123
159,1316,320.11146611137457
160,1319,317.48568265359256
161,1330,313.3499117311351
162,1333,313.56831314343697
163,1336,317.09522013314194
164,1337,318.48569661101163
165,1385,315.1019254652354
166,1388,312.8762946577916
167,1391,308.670273943267
168,1392,310.8035495601747
169,1414,314.85469276721193
170,1426,316.12101768293655
171,1428,317.86308140000955
172,1432,317.6572720976094
173,1436,313.67875574404763
174,1440,313.7478956521429
175,1465,309.94392932170865
176,1466,317.6728264525613
177,1477,317.9820612293203
178,1485,317.98234824965124
179,1489,318.23863067765683
180,1491,316.4908125868143
181,1508,320.8829595854253
182,1523,317.8928322320585
183,1527,325.0625469163456
184,1552,331.10954616568404
185,1568,334.30779342703306
186,1569,340.51086873220055
187,1584,342.2466948324854
188,1588,337.7787477151656
189,1597,341.07828775172294
190,1604,344.77303514769534
191,1605,339.1126665853322
192,1618,332.79086391996685
193,1627,333.96221009724735
194,1632,332.2028147356914
195,1637,331.9915696999203
196,1640,331.6877045847216
197,1645,332.54070131136604
198,1648,333.86005009038416
199,1660,337.28628928893806
200,1668,346.27370866031504
201,1675,344.98932932175
202,1682,345.35750005260195
203,1691,342.2157800517603
204,1695,340.59632757093215
205,1696,349.77078632979726
206,1697,352.0624537485205
207,1699,349.7574544885442
208,1702,356.16133521672754
209,1709,362.6227538532599
210,1718,362.91678979160775
211,1728,369.17412115494204
212,1732,381.091335216463
213,1734,386.7218738529996
214,1737,389.1583238713516
215,1742,388.94779068941
216,1745,392.93262603837945
217,1746,400.1497040217654
218,1747,406.6113087574172
219,1766,412.40952781729857
220,1775,417.8269753722218
221,1781,419.76574376626627
222,1788,416.857491866006
223,1789,411.14777199614986
224,1798,408.69740764421147
225,1805,408.65424912190406
226,1817,403.4757811359536
227,1826,406.28416863777835
228,1830,402.3756219395739
229,1840,406.5456119885407
230,1844,402.6168821967241
231,1853,402.8310120815765
232,1866,409.08971588827126
233,1869,410.28828043405895
234,1875,406.363667947114
235,1877,403.39784925996014
236,1911,407.63148367180077
237,1917,403.029379933052
238,1934,408.34090985412314
239,1936,405.7594552964572
240,1938,402.64330401171384
241,1944,398.8090111475264
242,1947,392.18806696916596
243,1949,392.85705789765933
244,1967,389.73934497129676
245,1981,389.39151545175605
246,1983,392.42525120452797
247,2001,402.86644718525554
248,2005,404.34058403029144
249,2013,407.4551346858068
250,2030,417.2718525308339
251,2036,422.46750289034054
252,2060,426.54002284409506
253,2072,428.96338247858955
254,2073,430.5959683589321
255,2076,426.1704328651892
256,2077,430.8397059393462
257,2079,435.75427064431665
258,2081,444.9742023140076
259,2085,447.34261507698346
260,2089,455.6731332357517
261,2094,465.9983631039797
262,2096,470.27038929431603
263,2111,465.19406306560694
264,2145,466.93495805655726
265,2149,467.52799872765235
266,2151,471.24755074800987
267,2156,468.5075899360417
268,2165,469.043468497065
269,2173,466.530773001112
270,2177,468.4262806330942
271,2187,468.6914601429647
272,2189,462.82439678067726
273,2191,461.4512064321864
274,2192,462.6439871292714
275,2196,462.58568333520304
276,2199,460.8963124018398
277,2207,464.0499714034104
278,2211,465.2171718609558
279,2225,470.46169711118046
280,2231,477.8943099574016
281,2236,487.5760009980832
282,2237,488.7667849821139
283,2239,488.05051642240005
284,2242,488.43370815964164
285,2244,494.4107688290874
286,2246,492.21219652782196
287,2247,497.1848013833768
288,2254,494.9738445612428
289,2257,502.43026304826293
290,2262,497.0633788394907
291,2281,491.4143647780588
292,2291,502.6077349416099
293,2297,497.94201118254415
294,2303,494.64693900362346
295,2307,489.2605879795655
296,2308,498.2484185718925
297,2319,498.67644387474223
298,2320,493.89762077274634
299,2335,494.3312588403824
300,2345,490.9499586989363
301,2354,490.1027593597533
302,2371,491.63711520999726
303,2389,491.6749213666373
304,2390,492.9761226247711
305,2392,502.2885046627748
306,2402,505.9638885881704
307,2406,500.0284663707597
308,2425,496.4920109088275
309,2436,497.8601387342863
310,2444,497.63837651453775
311,2450,494.50816249030515
312,2451,502.30803189046026
313,2453,505.6791033802129
314,2455,502.08423772612946
315,2460,503.3148899225114
316,2485,499.7738516837512
317,2486,499.0574700568112
318,2496,495.28055053590225
319,2498,491.3080617273278
320,2503,487.1271327396906
321,2517,487.34909861585555
322,2523,488.3675130380019
323,2530,488.2016328293939
324,2532,484.75840670412356
325,2547,481.03427219685756
326,2551,479.62572384170784
327,2553,478.5437122602405
328,2566,479.7830128640767
329,2578,476.3944846582515
330,2590,479.3001729037195
331,2591,477.61537013725996
332,2592,486.5495242150638
333,2600,479.8047318276228
334,2606,479.6798561183808
335,2623,483.30097842048673
336,2629,487.7441627657589
337,2630,481.1402561615067
338,2638,474.05001206292263
339,2644,475.8892118699159
340,2650,480.03498447999726
341,2655,477.2664247283173
342,2678,476.3181619326642
343,2680,473.7210713417416
