,Step,Value
0,5,13.98704243
1,18,13.98191314038
2,24,14.00922198235468
3,40,14.055502321321713
4,42,14.22469046070321
5,45,14.356450765733365
6,53,14.4320805379131
7,56,14.519483576042317
8,71,14.597237331477725
9,74,14.692050479677038
10,94,14.756701792141559
11,102,14.841561874131578
12,106,14.977703046373735
13,126,15.076259161284502
14,139,15.11655699240652
15,155,15.13816401739283
16,158,15.26654600150933
17,167,15.259555831588198
18,178,15.415805335465963
19,183,15.50885307926944
20,185,15.539225027739667
21,186,15.54405212851131
22,190,15.489439276392151
23,207,15.453880968902661
24,229,15.589141492078022
25,234,15.58666567268893
26,249,15.540298475971285
27,255,15.618364481527687
28,260,15.5408877796863
29,267,15.501945340350693
30,271,15.411193345529783
31,273,15.420457356292365
32,292,15.408082353564271
33,308,15.42752032367437
34,310,15.51548746988293
35,318,15.464984087164568
36,330,15.405388849264265
37,339,15.460576587474565
38,347,15.52109696392992
39,363,15.457540906274902
40,367,15.558591571427053
41,421,15.525329118267075
42,422,15.468383108611336
43,439,15.587949673230778
44,442,15.669646230505547
45,445,15.624326755738469
46,460,15.65833989663813
47,463,15.687956016225197
48,464,15.692409066558044
49,474,15.698443710326233
50,491,15.732619748721666
51,493,15.776723622119563
52,514,15.813482677709889
53,517,15.76569451564195
54,531,15.806442993122962
55,536,15.72653122057924
56,563,15.75565307263113
57,573,15.737836941534294
58,579,15.804997943252815
59,581,15.772397296947274
60,586,15.741329532850012
61,587,15.771406878710112
62,602,15.77550407882817
63,620,15.821156032044575
64,622,15.870919620855952
65,634,15.817942328083967
66,641,15.768806855150793
67,642,15.838521849798681
68,644,15.9379284789415
69,647,16.022110201476316
70,649,16.03377449745565
71,661,15.972997777571269
72,671,15.95426438334527
73,683,15.909438434438437
74,688,15.837003207596299
75,714,15.745430130719951
76,718,15.705306873969871
77,722,15.805925814294293
78,723,15.800627061894172
79,730,15.732236480307654
80,739,15.668409524103346
81,743,15.7084273935459
82,747,15.665070593996258
